id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,total_pymnt;
924393,12000,12000,12000, 36 months,7.99,375.99,A,Business Development ,3 years,RENT,85000,Source Verified,42644,debt_consolidation,OH,22.64,1,37408,0,14,0,8880,61.7,24,0,22937.52309;
924394,4000,4000,4000, 36 months,5.32,120.46,A,President,4 years,MORTGAGE,50000,Not Verified,42644,major_purchase,OH,4.83,0,38687,0,3,1,2712,21.7,5,0,26968.46966;
924395,20000,20000,20000, 36 months,11.49,659.43,B,Teacher,10+ years,RENT,94000,Source Verified,42644,debt_consolidation,CA,26.45,0,38231,0,12,0,10619,56,17,0,12052.91;
924396,8625,8625,8625, 36 months,10.99,282.34,B,Customer Service,2 years,OWN,75000,Source Verified,42644,debt_consolidation,NJ,25.72,0,37742,0,13,2,2850,20.5,29,0,19684.48028;
924397,3025,3025,3025, 36 months,12.79,101.62,C,Deli clerk,10+ years,RENT,36000,Source Verified,42644,credit_card,FL,23.3,0,35034,1,14,0,17782,56,31,0,16636.13443;
924398,23000,23000,23000, 60 months,19.99,609.24,D,Lead Waitress,10+ years,RENT,70000,Not Verified,42644,debt_consolidation,PA,17.22,0,36617,0,13,0,14112,30.2,22,0,17745.51141;
924399,5000,5000,5000, 36 months,15.59,174.78,C,paraprofesional,3 years,RENT,36000,Verified,42644,home_improvement,TX,2.98,0,37712,0,5,0,4372,76.7,14,0,14408.84959;
924400,30000,30000,30000, 60 months,17.99,761.64,D,Attorney,1 year,MORTGAGE,73000,Source Verified,42644,debt_consolidation,CA,26.72,0,40848,1,9,0,7056,35.1,12,0,5733.085529;
924401,5000,5000,5000, 36 months,18.99,183.26,D,custodian,8 years,MORTGAGE,21000,Verified,42644,credit_card,VA,14.04,0,38718,1,17,0,22408,59.1,25,0,33074.72;
924402,30000,30000,29950, 36 months,9.49,960.85,B,Casino host,3 years,RENT,60000,Source Verified,42644,debt_consolidation,TN,22.05,0,37347,0,8,1,3441,30.2,29,0,9148.606528;
924403,15000,15000,15000, 36 months,12.79,503.9,C,Machinst lead man,10+ years,RENT,115000,Source Verified,42644,debt_consolidation,CA,29.67,0,37956,0,23,0,29818,72.7,44,0,38019.47687;
924404,40000,40000,40000, 60 months,24.49,1162.13,E,Captain,10+ years,OWN,93694,Source Verified,42644,debt_consolidation,NV,26.31,0,34759,1,17,0,15727,62.2,31,0,3066.835332;
924405,11200,11200,11200, 36 months,11.49,369.28,B,Legal Assistant,2 years,RENT,38500,Not Verified,42644,debt_consolidation,TX,28.43,0,38534,0,12,2,14242,59.1,28,0,16154.13808;
924406,6000,6000,6000, 36 months,13.99,205.04,C,Senior CAD Drafter,10+ years,MORTGAGE,102000,Verified,42644,debt_consolidation,CO,37.89,3,25903,0,9,1,2644,26.4,15,0,16429.49701;
924407,6125,6125,6125, 36 months,13.99,209.31,C,Letter Carrier,10+ years,MORTGAGE,125000,Source Verified,42644,medical,NY,7.72,1,34182,0,8,0,64616,65,22,0,34810.16167;
924408,31200,31200,31200, 36 months,15.59,1090.6,C,Agent,5 years,MORTGAGE,132000,Source Verified,42644,debt_consolidation,GA,11.67,0,37773,0,6,0,6847,79.6,34,0,20963.8062;
924409,12000,12000,12000, 36 months,8.99,381.55,B,Acquisitions Analyst,< 1 year,RENT,62500,Source Verified,42644,debt_consolidation,MN,6.96,0,38261,0,5,0,6246,47.3,8,0,8878.208284;
924410,20000,20000,20000, 36 months,8.59,632.19,A,Sales,8 years,RENT,100000,Verified,42644,debt_consolidation,NY,14.67,0,40299,0,7,0,22157,68.4,8,0,24673.74052;
924411,11875,11875,11875, 36 months,15.59,415.1,C,Counselor,< 1 year,RENT,33000,Source Verified,42644,home_improvement,LA,19.84,1,36069,0,22,0,24669,51.3,39,0,17895.62059;
924412,10000,10000,10000, 36 months,10.99,327.34,B,attorney,10+ years,MORTGAGE,55000,Not Verified,42644,debt_consolidation,KY,22.06,1,39234,0,8,0,10695,59.1,11,0,14892.02279;
924413,24000,24000,24000, 36 months,19.99,891.81,D,Tax Compliance Officer,5 years,RENT,60000,Verified,42644,credit_card,TX,14.63,0,35004,0,7,0,12186,47.1,13,0,15169.62253;
924414,40000,40000,40000, 60 months,9.49,839.88,B,Regional Director of Operations,10+ years,MORTGAGE,300000,Source Verified,42644,major_purchase,TX,23.62,0,38687,0,10,0,5499,23.4,19,0,20291.53982;
924415,6000,6000,6000, 36 months,12.79,201.56,C,wax injector,6 years,MORTGAGE,65000,Source Verified,42644,debt_consolidation,PA,19.69,0,37834,2,5,0,3687,38.4,17,0,13878.69824;
924416,8200,8200,8200, 36 months,17.99,296.41,D,Pizzamen ,10+ years,OWN,57000,Verified,42644,debt_consolidation,NC,33.66,1,35339,0,10,0,26359,57.7,17,0,24043.46562;
924417,14475,14475,14475, 60 months,21.49,395.6,D,Senior CSR,10+ years,RENT,31500,Not Verified,42644,major_purchase,WA,12.77,0,38261,0,6,0,4143,29,12,0,6037.359085;
924418,13800,13800,13800, 36 months,13.49,468.25,C,owner,10+ years,RENT,75000,Source Verified,42644,debt_consolidation,TN,18.73,0,28703,2,20,0,43880,66,47,0,33649.61722;
924419,16375,16375,16375, 60 months,24.99,480.54,E,Brand Manager ,3 years,MORTGAGE,55000,Source Verified,42644,debt_consolidation,TX,14.13,0,36739,0,20,0,41918,30.8,51,0,26567.14;
924420,6000,6000,6000, 36 months,10.99,196.41,B,Senior consultant,4 years,MORTGAGE,80000,Source Verified,42644,credit_card,FL,4.39,0,40817,0,4,0,7023,98.9,4,0,12179.74226;
924421,10000,10000,10000, 36 months,10.49,324.98,B,Receiving clerk,2 years,MORTGAGE,95000,Not Verified,42644,debt_consolidation,SC,18.46,0,33178,0,6,1,5257,42.7,24,0,12068.24517;
924422,25000,25000,25000, 36 months,6.99,771.82,A,Superintendent,10+ years,MORTGAGE,200000,Source Verified,42644,credit_card,CA,16.88,0,36647,2,7,0,9854,90.4,25,0,9171.22;
924423,14000,14000,14000, 60 months,10.49,300.85,B,Sales Engineer,6 years,MORTGAGE,115000,Not Verified,42644,debt_consolidation,IL,45.77,0,38443,1,22,0,11386,68.2,96,0,41399.11001;
924424,6400,6400,6400, 36 months,21.49,242.74,D,Pharmacy Technician,3 years,RENT,20000,Verified,42644,debt_consolidation,NY,8.93,0,41030,1,10,0,8874,32.9,12,0,11477.61031;
924425,3025,3025,3025, 36 months,21.49,114.73,D,data analyst,10+ years,MORTGAGE,40000,Verified,42644,debt_consolidation,IL,15.33,0,37865,0,16,0,6439,64.4,28,0,5695.225083;
"924426,20000,20000,20000, 36 months,6.99,617.46,A,""Partner, Associate Director"",2 years,RENT,120500,Source Verified,42644,credit_card,NY,11.51,0,31594,2,13,0,115488,85.6,25,0,21738.73";
924427,6000,6000,6000, 36 months,10.49,194.99,B,Deputy,5 years,MORTGAGE,43000,Source Verified,42644,credit_card,TX,10.56,0,35977,0,5,0,5040,34.8,7,0,6655.553093;
924428,3000,3000,3000, 36 months,9.49,96.09,B,,n/a,OWN,73000,Verified,42644,other,KS,16.68,2,38930,0,23,0,3572,18.2,46,0,7122.003158;
924429,22525,22525,22525, 36 months,15.59,787.37,C,Data entry operator 3,10+ years,MORTGAGE,60000,Not Verified,42644,debt_consolidation,FL,6.98,0,41061,1,8,0,8687,35.5,10,0,17406.97184;
924430,11000,11000,11000, 60 months,12.79,249.11,C,Buyer,9 years,MORTGAGE,57500,Not Verified,42644,credit_card,TX,17.53,0,36951,0,13,0,47493,82.5,25,0,22177.79214;
924431,12000,12000,12000, 36 months,10.99,392.81,B,Teacher,2 years,MORTGAGE,60000,Verified,42644,other,CA,24.31,2,36951,0,8,0,3477,69.5,27,0,2982.178098;
924432,33000,33000,33000, 36 months,10.49,1072.43,B,Principal  Consultant,< 1 year,MORTGAGE,135000,Verified,42644,debt_consolidation,VA,12.74,1,33482,2,14,0,74259,69.3,33,0,35801.41123;
924433,25000,25000,25000, 60 months,10.49,537.23,B,Court Reporter,10+ years,MORTGAGE,88000,Not Verified,42644,debt_consolidation,NY,20.37,0,35490,0,14,0,7144,13.9,30,0,18903.28;
924434,16000,16000,16000, 36 months,14.49,550.66,C,Sales,10+ years,MORTGAGE,130000,Source Verified,42644,credit_card,NY,14.89,0,41091,2,7,0,12151,84.4,8,0,9160.33;
924435,20000,20000,20000, 60 months,13.49,460.1,C,Pharmacist,< 1 year,RENT,114000,Verified,42644,other,WV,29.17,0,37438,0,19,0,20371,66.8,33,0,12310.49638;
924436,11800,11800,11800, 36 months,12.79,396.4,C,Indigo Operator,1 year,MORTGAGE,46000,Source Verified,42644,credit_card,MS,32.67,0,37104,0,14,0,19182,47.8,22,0,19063.12579;
924437,11525,11525,11525, 36 months,10.99,377.26,B,Plant Equipment Manager,10+ years,RENT,98700,Verified,42644,debt_consolidation,MO,23.7,0,34608,2,26,0,37604,74.5,40,0,39621.79631;
924438,10000,10000,10000, 36 months,10.49,324.98,B,Surgical technologost,2 years,RENT,78000,Source Verified,42644,debt_consolidation,PA,6.04,0,36130,0,7,0,7458,57.4,14,0,13435.70748;
924439,6400,6400,6150, 36 months,8.99,203.49,B,Housekeeping,10+ years,RENT,37440,Not Verified,42644,debt_consolidation,TX,19.93,0,36161,0,8,0,18060,79.2,19,0,14400.27161;
924440,10000,10000,10000, 36 months,5.32,301.15,A,Attorney,< 1 year,RENT,82500,Source Verified,42644,debt_consolidation,WA,31.65,1,37347,3,15,0,9387,53.3,54,0,16277.61;
924441,12000,12000,12000, 36 months,13.49,407.17,C,PCS Infrastructure Tech,4 years,MORTGAGE,75000,Source Verified,42644,home_improvement,CA,6.72,0,34274,0,8,1,0,0,27,0,33038.92;
924442,25000,25000,25000, 60 months,22.39,696.03,E,private client banker,4 years,MORTGAGE,100000,Not Verified,42644,debt_consolidation,NY,23.79,0,38443,0,11,1,9034,35.8,29,0,27069.17085;
924443,10000,10000,10000, 36 months,14.49,344.17,C,Instructor/ Lead Teacher,3 years,RENT,40000,Source Verified,42644,credit_card,VA,10.34,0,38899,0,13,0,17889,46.7,18,0,16172.92582;
924444,6800,6800,6800, 36 months,15.59,237.7,C,sergeant,10+ years,MORTGAGE,62500,Verified,42644,debt_consolidation,GA,26.57,0,36800,0,13,1,12542,60.6,37,0,29032.22575;
924445,3000,3000,3000, 36 months,15.59,104.87,C,LPN Supervisor,10+ years,MORTGAGE,63000,Source Verified,42644,debt_consolidation,OK,17.79,0,39569,1,8,0,6409,32.5,14,0,8714.374304;
924446,6000,6000,6000, 36 months,8.59,189.66,A,Executive Chef,10+ years,MORTGAGE,140000,Source Verified,42644,debt_consolidation,UT,26.44,0,36982,1,27,0,44152,38,40,0,31689.89;
